"","MasVnrArea","MasVnrType","GarageType","GarageFinish","GarageQual","GarageCond","BsmtQual","BsmtCond","BsmtExposure","BsmtFinType1","Electrical","MSZoning","Exterior1st","Exterior2nd","KitchenQual","SaleType","BsmtUnfSF","GarageCars","GarageArea","BsmtFinSF1","Id","LotArea","LotShape","Neighborhood","HouseStyle","OverallQual","YearBuilt","YearRemodAdd","ExterQual","Foundation","HeatingQC","CentralAir","X1stFlrSF","X2ndFlrSF","GrLivArea","TotRmsAbvGrd","Fireplaces","PavedDrive","SaleCondition","SalePrice","TotalSF","Total_Bathrooms","TotalPorchSF"
"11",0,"None","Detchd","Unf","TA","TA","TA","TA","No","Rec","SBrkr","RL","HdBoard","HdBoard","TA","WD",134,1,384,906,11,11200,"Reg","Sawyer","1Story",5,1965,1965,"TA","CBlock","Ex","Y",1040,0,1040,5,0,"Y","Normal",11.7714361601217,2080,2,0
"12",286,"Stone","BuiltIn","Fin","TA","TA","Ex","TA","No","GLQ","SBrkr","RL","WdShing","Wd Shng","Ex","New",177,3,736,998,12,11924,"IR1","NridgHt","2Story",9,2005,2006,"Ex","PConc","Ex","Y",1182,1142,2324,11,2,"Y","Partial",12.7512996960135,3499,4,168
"13",0,"None","Detchd","Unf","TA","TA","TA","TA","No","ALQ","SBrkr","RL","HdBoard","Plywood","TA","WD",175,1,352,737,13,12968,"IR2","Sawyer","1Story",5,1962,1962,"TA","CBlock","TA","Y",912,0,912,4,0,"Y","Normal",11.8775685785581,1824,2,140
"14",306,"Stone","Attchd","RFn","TA","TA","Gd","TA","Av","Unf","SBrkr","RL","VinylSd","VinylSd","Gd","New",1494,3,840,0,14,10652,"IR1","CollgCr","1Story",7,2006,2007,"Gd","PConc","Ex","Y",1494,0,1494,7,1,"Y","Partial",12.5407575715773,2988,2,193
"15",212,"BrkFace","Attchd","RFn","TA","TA","TA","TA","No","BLQ","SBrkr","RL","MetalSd","MetalSd","TA","WD",520,1,352,733,15,10920,"IR1","NAmes","1Story",6,1960,1960,"TA","CBlock","TA","Y",1253,0,1253,5,1,"Y","Normal",11.9640010843304,2506,2.5,213
"16",0,"None","Detchd","Unf","TA","TA","TA","TA","No","Unf","FuseA","RM","Wd Sdng","Wd Sdng","TA","WD",832,2,576,0,16,6120,"Reg","BrkSide","1.5Unf",7,1929,2001,"TA","BrkTil","Ex","Y",854,0,854,5,0,"Y","Normal",11.7905572015685,1686,1,160
"17",180,"BrkFace","Attchd","Fin","TA","TA","TA","TA","No","ALQ","SBrkr","RL","Wd Sdng","Wd Sdng","TA","WD",426,2,480,578,17,11241,"IR1","NAmes","1Story",6,1970,1970,"TA","CBlock","Ex","Y",1004,0,1004,5,1,"Y","Normal",11.9117015849276,2008,2,0
"18",0,"None","CarPort","Unf","TA","TA","TA","TA","No","Unf","SBrkr","RL","MetalSd","MetalSd","TA","WD",0,2,516,0,18,10791,"Reg","Sawyer","1Story",4,1967,1967,"TA","Slab","TA","Y",1296,0,1296,6,0,"Y","Normal",11.4075649493124,1296,2,0
"19",0,"None","Detchd","Unf","TA","TA","TA","TA","No","GLQ","SBrkr","RL","VinylSd","VinylSd","Gd","WD",468,2,576,646,19,13695,"Reg","SawyerW","1Story",5,2004,2004,"TA","PConc","Ex","Y",1114,0,1114,6,0,"Y","Normal",11.9766594812024,2228,2.5,102
"20",0,"None","Attchd","Unf","TA","TA","TA","TA","No","LwQ","SBrkr","RL","BrkFace","Plywood","TA","COD",525,1,294,504,20,7560,"Reg","NAmes","1Story",5,1958,1965,"TA","CBlock","TA","Y",1339,0,1339,6,0,"Y","Abnorml",11.8422292121128,2368,1,0
"21",380,"BrkFace","BuiltIn","RFn","TA","TA","Ex","TA","Av","Unf","SBrkr","RL","VinylSd","VinylSd","Gd","New",1158,3,853,0,21,14215,"IR1","NridgHt","2Story",8,2005,2006,"Gd","PConc","Ex","Y",1158,1218,2376,9,1,"Y","Partial",12.6925031124614,3534,3.5,394
"22",0,"None","Attchd","Unf","TA","TA","TA","TA","No","Unf","FuseF","RM","Wd Sdng","Wd Sdng","Gd","WD",637,1,280,0,22,7449,"Reg","IDOTRR","1.5Unf",7,1930,1950,"TA","PConc","Ex","Y",1108,0,1108,6,1,"N","Normal",11.8451027773086,1745,1,0
"23",281,"BrkFace","Attchd","RFn","TA","TA","Gd","TA","No","Unf","SBrkr","RL","VinylSd","VinylSd","Gd","WD",1777,2,534,0,23,9742,"Reg","CollgCr","1Story",8,2002,2002,"Gd","PConc","Ex","Y",1795,0,1795,7,1,"Y","Normal",12.3458345879053,3572,2,330
"24",0,"None","Attchd","Unf","TA","TA","Gd","TA","No","GLQ","SBrkr","RM","CemntBd","CmentBd","TA","WD",200,2,572,840,24,4224,"Reg","MeadowV","1Story",5,1976,1976,"TA","PConc","TA","Y",1060,0,1060,6,1,"Y","Normal",11.7745202026587,2100,2,210
"25",0,"None","Attchd","Unf","TA","TA","TA","TA","Mn","Rec","SBrkr","RL","Plywood","Plywood","Gd","WD",204,1,270,188,25,8246,"IR1","Sawyer","1Story",5,1968,2001,"TA","CBlock","Ex","Y",1060,0,1060,6,1,"Y","Normal",11.9447078813958,2120,2,496
"26",640,"Stone","Attchd","RFn","TA","TA","Gd","TA","No","Unf","SBrkr","RL","VinylSd","VinylSd","Gd","WD",1566,3,890,0,26,14230,"Reg","NridgHt","1Story",8,2007,2007,"Gd","PConc","Ex","Y",1600,0,1600,7,1,"Y","Normal",12.4541039123522,3166,2,56
"27",0,"None","Detchd","Unf","TA","TA","TA","TA","Mn","BLQ","SBrkr","RL","Wd Sdng","Wd Sdng","Gd","WD",180,2,576,234,27,7200,"Reg","NAmes","1Story",5,1951,2000,"TA","CBlock","TA","Y",900,0,900,5,0,"Y","Normal",11.8115474774603,1800,1,254
"28",200,"Stone","Attchd","RFn","TA","TA","Ex","TA","No","GLQ","SBrkr","RL","VinylSd","VinylSd","Gd","WD",486,3,772,1218,28,11478,"Reg","NridgHt","1Story",8,2007,2008,"Gd","PConc","Ex","Y",1704,0,1704,7,1,"Y","Normal",12.6313403809345,3408,3,50
"29",0,"None","Attchd","RFn","TA","TA","TA","TA","Gd","BLQ","SBrkr","RL","MetalSd","MetalSd","TA","WD",207,1,319,1277,29,16321,"IR1","NAmes","1Story",5,1957,1997,"TA","CBlock","TA","Y",1600,0,1600,6,2,"Y","Normal",12.2428866186529,3084,2,546
"30",0,"None","Detchd","Unf","Fa","TA","TA","TA","No","Unf","SBrkr","RM","MetalSd","MetalSd","Fa","WD",520,1,240,0,30,6324,"IR1","BrkSide","1Story",4,1927,1950,"TA","BrkTil","Fa","N",520,0,520,4,0,"Y","Normal",11.1345890242503,1040,1,49
"31",0,"None","Detchd","Unf","TA","Fa","TA","TA","No","Unf","SBrkr","C (all)","BrkFace","BrkFace","TA","WD",649,1,250,0,31,8500,"Reg","IDOTRR","2Story",4,1920,1950,"TA","BrkTil","TA","N",649,668,1317,6,0,"N","Normal",10.5966347330961,1966,1,54
"32",0,"None","Attchd","Unf","TA","TA","TA","TA","No","Unf","SBrkr","RL","HdBoard","HdBoard","Gd","WD",1228,1,271,0,32,8544,"IR1","Sawyer","1Story",5,1966,2006,"TA","CBlock","Gd","Y",1228,0,1228,6,0,"Y","Normal",11.9140478236443,2456,1.5,65
"33",0,"None","Attchd","RFn","TA","TA","Ex","TA","Av","Unf","SBrkr","RL","VinylSd","VinylSd","Gd","WD",1234,2,484,0,33,11049,"Reg","CollgCr","1Story",8,2007,2007,"Gd","PConc","Ex","Y",1234,0,1234,7,0,"Y","Normal",12.1001564199386,2468,2,30
"34",0,"None","Attchd","RFn","TA","TA","TA","TA","No","Rec","SBrkr","RL","BrkFace","BrkFace","Gd","WD",380,2,447,1018,34,10552,"IR1","NAmes","1Story",5,1959,1959,"TA","CBlock","Gd","Y",1700,0,1700,6,1,"Y","Normal",12.0167264737993,3098,1.5,38
"35",246,"BrkFace","Attchd","Fin","TA","TA","Ex","TA","No","GLQ","SBrkr","RL","MetalSd","MetalSd","Ex","WD",408,2,556,1153,35,7313,"Reg","NridgHt","1Story",9,2005,2005,"Ex","PConc","Ex","Y",1561,0,1561,6,1,"Y","Normal",12.5335762121686,3122,3,250
"36",132,"Stone","BuiltIn","Fin","TA","TA","Ex","TA","Av","Unf","SBrkr","RL","VinylSd","VinylSd","Gd","WD",1117,3,691,0,36,13418,"Reg","NridgHt","2Story",8,2004,2005,"Gd","PConc","Ex","Y",1132,1320,2452,9,1,"Y","Normal",12.6410965558799,3569,3.5,145
"37",0,"None","Attchd","Unf","TA","TA","Gd","TA","No","Unf","SBrkr","RL","VinylSd","VinylSd","TA","WD",1097,2,672,0,37,10859,"Reg","CollgCr","1Story",5,1994,1995,"TA","PConc","Ex","Y",1097,0,1097,6,0,"Y","Normal",11.8844890214027,2194,1.5,456
"38",650,"BrkFace","Attchd","Fin","TA","TA","TA","TA","No","Rec","SBrkr","RL","Wd Sdng","Wd Sdng","TA","WD",84,2,498,1213,38,8532,"Reg","NAmes","1Story",5,1954,1990,"TA","CBlock","Gd","Y",1297,0,1297,5,1,"Y","Normal",11.9381932003746,2594,1,0
"39",0,"None","Detchd","Unf","TA","TA","TA","TA","No","GLQ","SBrkr","RL","VinylSd","VinylSd","Gd","WD",326,1,246,731,39,7922,"Reg","NAmes","1Story",5,1953,2007,"TA","CBlock","TA","Y",1057,0,1057,5,0,"Y","Abnorml",11.5991031612113,2114,2,52
"40",0,"None","Attchd","Unf","TA","TA","TA","TA","No","Unf","FuseP","RL","AsbShng","Plywood","Fa","WD",0,0,0,0,40,6040,"Reg","Edwards","1Story",4,1955,1955,"TA","PConc","TA","N",1152,0,1152,6,0,"N","AdjLand",11.3144745262464,1152,2,0
"41",101,"BrkFace","Attchd","RFn","TA","TA","TA","TA","No","Rec","SBrkr","RL","Wd Sdng","Wd Sdng","TA","WD",445,2,440,643,41,8658,"Reg","NAmes","1Story",6,1965,1965,"TA","CBlock","Ex","Y",1324,0,1324,6,1,"Y","Abnorml",11.982929094216,2412,2,138
"42",0,"None","Attchd","RFn","TA","TA","TA","TA","Gd","BLQ","SBrkr","RL","VinylSd","VinylSd","TA","WD",383,1,308,967,42,16905,"Reg","Timber","1Story",5,1959,1959,"TA","CBlock","Gd","Y",1328,0,1328,5,2,"P","Normal",12.0435537160324,2678,1.5,104
"43",0,"None","Attchd","RFn","TA","Gd","Gd","TA","Av","ALQ","SBrkr","RL","HdBoard","HdBoard","Gd","WD",0,2,504,747,43,9180,"IR1","SawyerW","SFoyer",5,1983,1983,"TA","CBlock","Gd","Y",884,0,884,5,0,"Y","Normal",11.8775685785581,1724,2,240
"44",0,"None","Detchd","Unf","TA","TA","Gd","TA","Av","LwQ","SBrkr","RL","VinylSd","VinylSd","TA","WD",167,1,308,280,44,9200,"IR1","CollgCr","1Story",5,1975,1980,"TA","CBlock","TA","Y",938,0,938,5,0,"Y","Normal",11.7772109596156,1876,2,145
"45",0,"None","Attchd","RFn","TA","TA","TA","TA","No","ALQ","FuseA","RL","BrkFace","Wd Sdng","TA","WD",465,1,300,179,45,7945,"Reg","NAmes","1Story",5,1959,1959,"TA","CBlock","Ex","Y",1150,0,1150,6,0,"Y","Normal",11.8565151693603,2300,2,0
"46",412,"BrkFace","Attchd","RFn","TA","TA","Ex","TA","No","GLQ","SBrkr","RL","MetalSd","MetalSd","Ex","WD",1296,2,576,456,46,7658,"Reg","NridgHt","1Story",9,2005,2005,"Ex","PConc","Ex","Y",1752,0,1752,6,1,"Y","Normal",12.6757637259376,3504,3,278
"47",0,"None","Attchd","RFn","TA","TA","Ex","TA","No","GLQ","SBrkr","RL","VinylSd","VinylSd","Gd","WD",83,2,670,1351,47,12822,"IR1","Mitchel","1.5Fin",7,2003,2003,"Gd","PConc","Ex","Y",1518,631,2149,6,1,"Y","Abnorml",12.3870850123755,3583,2.5,211
"48",0,"None","Attchd","RFn","TA","TA","Gd","TA","Av","GLQ","SBrkr","FV","VinylSd","VinylSd","Gd","WD",1632,3,826,24,48,11096,"Reg","Somerst","1Story",8,2006,2006,"Gd","PConc","Ex","Y",1656,0,1656,7,0,"Y","Normal",12.4280154762679,3312,2,146
"49",0,"None","Attchd","Unf","TA","TA","TA","TA","No","Unf","SBrkr","RM","MetalSd","MetalSd","TA","New",736,0,0,0,49,4456,"Reg","OldTown","2Story",4,1920,2008,"TA","BrkTil","Gd","Y",736,716,1452,8,0,"N","Partial",11.6351430976945,2188,2,0
"50",0,"None","Attchd","Unf","TA","TA","TA","TA","No","BLQ","SBrkr","RL","HdBoard","HdBoard","TA","WD",192,1,386,763,50,7742,"Reg","Sawyer","1Story",5,1966,1966,"TA","CBlock","Ex","Y",955,0,955,6,0,"Y","Normal",11.7519423654407,1910,2,0
"51",0,"None","Attchd","Fin","TA","TA","Gd","TA","Av","GLQ","SBrkr","RL","VinylSd","VinylSd","TA","WD",612,2,388,182,51,13869,"IR2","Gilbert","2Story",6,1997,1997,"TA","PConc","Gd","Y",794,676,1470,6,0,"Y","Normal",12.083905011556,2264,2,75
"52",0,"None","Detchd","Unf","TA","TA","TA","TA","No","Unf","SBrkr","RM","Wd Sdng","Wd Sdng","TA","WD",816,2,528,0,52,6240,"Reg","BrkSide","1.5Fin",6,1934,1950,"TA","PConc","TA","Y",816,0,1176,6,1,"Y","Normal",11.6483301019764,1992,1,112
"53",0,"None","CarPort","Unf","TA","TA","Gd","TA","Gd","LwQ","SBrkr","RM","Wd Sdng","Wd Sdng","TA","WD",0,2,516,104,53,8472,"IR2","IDOTRR","1Story",5,1963,1963,"Fa","CBlock","TA","N",816,0,816,5,0,"Y","Normal",11.6082356447746,1632,2,106
"54",0,"None","Attchd","Fin","TA","TA","Ex","TA","Gd","GLQ","SBrkr","RL","WdShing","Wd Shng","Gd","WD",32,3,894,1810,54,50271,"IR1","Veenker","1Story",9,1981,1987,"Gd","CBlock","Gd","Y",1842,0,1842,5,1,"Y","Normal",12.8609986132699,3684,2.5,929
"55",0,"None","Detchd","Unf","TA","TA","TA","TA","No","ALQ","SBrkr","RL","MetalSd","MetalSd","TA","WD",0,2,572,384,55,7134,"Reg","NAmes","SLvl",5,1955,1955,"TA","CBlock","TA","Y",1360,0,1360,6,1,"Y","Normal",11.7752897294377,1744,1,50
"56",272,"BrkFace","Attchd","RFn","TA","TA","TA","TA","No","BLQ","SBrkr","RL","HdBoard","Plywood","TA","WD",935,2,576,490,56,10175,"IR1","NAmes","1Story",6,1964,1964,"TA","CBlock","Gd","Y",1425,0,1425,7,1,"Y","Normal",12.1034860567551,2850,2,0
"57",456,"BrkFace","Attchd","Fin","TA","TA","Gd","TA","No","GLQ","SBrkr","FV","MetalSd","MetalSd","Gd","WD",321,2,480,649,57,2645,"Reg","Somerst","2Story",8,1999,2000,"Gd","PConc","Ex","Y",983,756,1739,7,0,"Y","Abnorml",12.0581525154536,2709,3.5,115
"58",0,"None","Attchd","RFn","TA","TA","Gd","TA","No","Unf","SBrkr","RL","VinylSd","VinylSd","Gd","WD",860,2,565,0,58,11645,"IR1","CollgCr","2Story",7,2004,2004,"Gd","PConc","Ex","Y",860,860,1720,7,0,"Y","Normal",12.1884177102915,2580,2.5,70
"59",1031,"BrkFace","BuiltIn","Fin","TA","TA","Ex","TA","Gd","Unf","SBrkr","RL","VinylSd","VinylSd","Gd","New",1410,3,641,0,59,13682,"IR2","StoneBr","2Story",10,2006,2006,"Ex","PConc","Ex","Y",1426,1519,2945,10,1,"Y","Partial",12.9917534274931,4355,3.5,192
"60",0,"None","Detchd","Unf","TA","TA","TA","TA","Av","ALQ","SBrkr","RL","HdBoard","HdBoard","TA","WD",148,1,352,632,60,7200,"Reg","CollgCr","1Story",5,1972,1972,"TA","CBlock","Ex","Y",780,0,780,4,0,"Y","Normal",11.7352686961137,1560,1,196
"61",0,"None","Detchd","Unf","TA","TA","Gd","TA","No","ALQ","SBrkr","RL","VinylSd","VinylSd","Gd","New",217,2,576,941,61,13072,"Reg","SawyerW","1Story",6,2004,2004,"TA","PConc","Ex","Y",1158,0,1158,5,0,"Y","Partial",11.9703503120091,2316,2.5,50
"62",0,"None","Detchd","Unf","TA","TA","TA","Fa","No","Unf","SBrkr","RM","MetalSd","MetalSd","Fa","WD",530,1,288,0,62,7200,"Reg","IDOTRR","2.5Unf",5,1920,1996,"TA","BrkTil","TA","N",581,530,1111,6,0,"N","Normal",11.5228757958234,1641,1,0
"63",178,"Stone","Attchd","RFn","TA","TA","Gd","Gd","Mn","GLQ","SBrkr","RL","VinylSd","VinylSd","Gd","WD",1346,2,484,24,63,6442,"IR1","NridgHt","1Story",8,2006,2006,"Gd","PConc","Ex","Y",1370,0,1370,6,1,"Y","Normal",12.2184951655287,2740,2,169
"64",0,"None","Detchd","Unf","TA","TA","TA","TA","No","Unf","SBrkr","RM","Stucco","Stucco","TA","WD",576,2,480,0,64,10300,"IR1","OldTown","2Story",7,1921,1950,"TA","BrkTil","Gd","Y",902,808,1710,9,0,"Y","Normal",11.8493977015914,2286,2,23
"65",573,"BrkFace","Attchd","RFn","TA","TA","Gd","TA","No","GLQ","SBrkr","RL","VinylSd","VinylSd","Gd","WD",318,2,645,739,65,9375,"Reg","CollgCr","2Story",7,1997,1998,"TA","PConc","Ex","Y",1057,977,2034,8,0,"Y","Normal",12.2991075114974,3091,3.5,612
"66",344,"BrkFace","BuiltIn","RFn","TA","TA","Ex","TA","Av","Unf","SBrkr","RL","VinylSd","VinylSd","Gd","WD",1143,3,852,0,66,9591,"Reg","NridgHt","2Story",8,2004,2005,"Gd","PConc","Ex","Y",1143,1330,2473,9,1,"Y","Normal",12.6666570528594,3616,2.5,343
"67",287,"BrkFace","Attchd","RFn","TA","TA","Gd","TA","Gd","GLQ","SBrkr","RL","Plywood","Plywood","TA","WD",1035,2,576,912,67,19900,"Reg","NAmes","1Story",7,1970,1989,"TA","CBlock","TA","Y",2207,0,2207,7,1,"Y","Normal",12.1007121298723,4154,3,301
"68",167,"BrkFace","Attchd","RFn","TA","TA","Gd","TA","Av","GLQ","SBrkr","RL","VinylSd","VinylSd","Gd","WD",440,2,558,1013,68,10665,"IR1","CollgCr","1Story",7,2003,2003,"Gd","PConc","Ex","Y",1479,0,1479,7,0,"Y","Normal",12.3282902782544,2932,3,173
"69",0,"None","Attchd","Unf","TA","TA","TA","TA","No","Unf","SBrkr","RM","MetalSd","MetalSd","TA","WD",747,1,220,0,69,4608,"Reg","OldTown","1Story",4,1945,1950,"TA","CBlock","TA","Y",747,0,747,4,0,"Y","Normal",11.289781913656,1494,1,0
"70",0,"None","Attchd","Fin","TA","TA","TA","TA","No","BLQ","SBrkr","RL","BrkFace","AsbShng","TA","WD",701,2,667,603,70,15593,"Reg","ClearCr","1.5Fin",7,1953,1953,"Gd","CBlock","TA","Y",1304,983,2287,7,1,"Y","Normal",12.3238556811866,3591,2,21
"71",1115,"BrkFace","Attchd","Fin","TA","TA","Gd","TA","Gd","ALQ","SBrkr","RL","Plywood","Plywood","TA","WD",343,2,516,1880,71,13651,"IR1","NAmes","1Story",7,1973,1973,"TA","CBlock","Ex","Y",2223,0,2223,8,2,"Y","Normal",12.4049235042753,4446,3,300
"72",0,"None","Detchd","Unf","TA","TA","TA","TA","No","ALQ","SBrkr","RL","HdBoard","Plywood","TA","WD",280,2,360,565,72,7599,"Reg","Mitchel","1Story",4,1982,2006,"TA","CBlock","TA","Y",845,0,845,4,0,"Y","Normal",11.7714361601217,1690,2,0
"73",40,"BrkFace","Attchd","Fin","TA","TA","Gd","TA","No","Unf","SBrkr","RL","VinylSd","VinylSd","TA","WD",832,2,427,0,73,10141,"IR1","Gilbert","2Story",7,1998,1998,"TA","PConc","Gd","Y",885,833,1718,7,1,"Y","Normal",12.1281111040605,2550,2.5,94
"74",104,"BrkFace","Attchd","Unf","TA","TA","TA","TA","No","ALQ","SBrkr","RL","Wd Sdng","Wd Sdng","TA","WD",404,2,490,320,74,10200,"Reg","NAmes","1Story",5,1954,2003,"TA","CBlock","Gd","Y",1086,0,1086,6,0,"Y","Normal",11.8837991283088,2172,2,0
"75",0,"None","Detchd","Unf","TA","TA","Fa","TA","No","Unf","SBrkr","RM","VinylSd","VinylSd","TA","WD",840,1,379,0,75,5790,"Reg","OldTown","2Story",3,1915,1950,"Gd","CBlock","Gd","N",840,765,1605,8,0,"Y","Normal",11.5843154610569,2445,2,0
"76",0,"None","BuiltIn","Unf","TA","TA","Gd","TA","Gd","GLQ","SBrkr","RM","CemntBd","CmentBd","TA","WD",0,1,297,462,76,1596,"Reg","MeadowV","SLvl",4,1973,1973,"TA","CBlock","TA","Y",526,462,988,5,0,"Y","Normal",11.418614785499,1450,2,221
"77",0,"None","Detchd","Unf","TA","TA","TA","TA","No","ALQ","FuseA","RL","VinylSd","VinylSd","TA","WD",724,1,283,228,77,8475,"IR1","NAmes","1Story",4,1956,1956,"TA","CBlock","Ex","Y",952,0,952,4,0,"Y","Normal",11.8185702377962,1904,1,0
"78",0,"None","Detchd","Unf","TA","TA","TA","TA","No","BLQ","SBrkr","RM","Wd Sdng","Wd Sdng","TA","WD",295,1,240,336,78,8635,"Reg","BrkSide","1.5Fin",5,1948,2001,"TA","CBlock","TA","Y",1072,213,1285,6,0,"Y","Normal",11.7519423654407,1957,2,0
"79",0,"None","Attchd","Unf","TA","TA","TA","TA","No","Unf","SBrkr","RL","HdBoard","HdBoard","TA","WD",1768,0,0,0,79,10778,"Reg","Sawyer","1Story",4,1968,1968,"TA","CBlock","TA","N",1768,0,1768,8,0,"Y","Normal",11.8240798936072,3536,2,0
"80",0,"None","Detchd","Unf","TA","TA","TA","TA","No","Unf","SBrkr","RM","Wd Sdng","Wd Sdng","TA","WD",440,2,440,0,80,10440,"Reg","OldTown","2Story",5,1910,1981,"TA","PConc","Gd","Y",682,548,1230,5,0,"Y","Normal",11.6082356447746,1670,1.5,74
"81",576,"BrkFace","Attchd","Fin","TA","TA","Gd","TA","No","Rec","SBrkr","RL","VinylSd","VinylSd","Gd","WD",448,1,509,448,81,13000,"Reg","NAmes","2Story",6,1968,1968,"TA","CBlock","TA","Y",1182,960,2142,8,1,"Y","Normal",12.173032791452,3038,2.5,72
"82",443,"BrkFace","Attchd","Fin","TA","TA","Ex","Gd","No","GLQ","SBrkr","RM","VinylSd","VinylSd","TA","WD",36,2,405,1201,82,4500,"Reg","Mitchel","1Story",6,1998,1998,"TA","PConc","Ex","Y",1337,0,1337,5,0,"Y","Normal",11.9414558460094,2574,3,199
"83",468,"Stone","Attchd","RFn","TA","TA","Gd","TA","No","GLQ","SBrkr","RL","VinylSd","VinylSd","Gd","WD",1530,3,758,33,83,10206,"Reg","Somerst","1Story",8,2007,2007,"TA","PConc","Ex","Y",1563,0,1563,6,1,"Y","Normal",12.4090134895269,3126,2,243
"84",66,"BrkCmn","Detchd","Unf","TA","TA","TA","TA","No","Unf","SBrkr","RL","MetalSd","MetalSd","TA","COD",1065,2,461,0,84,8892,"IR1","NAmes","1Story",5,1960,1960,"TA","CBlock","Gd","Y",1065,0,1065,6,0,"Y","Normal",11.7479975871497,2130,1.5,74
"85",22,"BrkFace","BuiltIn","Fin","TA","TA","Gd","TA","No","Unf","SBrkr","RL","HdBoard","HdBoard","TA","WD",384,2,400,0,85,8530,"IR1","Gilbert","SLvl",7,1995,1996,"TA","PConc","Gd","Y",804,670,1474,7,1,"Y","Normal",12.0346910287746,1858,2.5,192
"86",284,"BrkFace","Attchd","Unf","TA","TA","Gd","TA","No","Unf","SBrkr","RL","HdBoard","HdBoard","Gd","WD",1288,2,462,0,86,16059,"Reg","NoRidge","2Story",8,1991,1992,"Gd","CBlock","Ex","Y",1301,1116,2417,9,1,"Y","Normal",12.4684369099977,3705,2.5,209
"87",0,"None","BuiltIn","Fin","TA","TA","Gd","TA","Av","Unf","SBrkr","RL","VinylSd","VinylSd","Gd","WD",684,2,400,0,87,11911,"IR2","Gilbert","2Story",6,2005,2005,"Gd","PConc","Ex","Y",684,876,1560,6,1,"Y","Normal",12.0668105781967,2244,2.5,138
